240	737319.103	1030722.213	224.214
239	737318.446	1030721.073	224.227
238	737317.874	1030720.075	224.363
237	737317.276	1030719.015	224.446
236	737316.695	1030717.962	224.455
235	737316.115	1030716.901	224.446
234	737315.516	1030715.867	224.386
233	737314.926	1030714.841	224.499
232	737314.338	1030713.788	224.263
231	737313.721	1030712.756	224.177
230	737313.123	1030711.731	224.540
229	737312.507	1030710.698	224.494
228	737311.988	1030709.643	224.421
227	737311.363	1030708.578	224.478
226	737310.766	1030707.490	224.525
225	737310.193	1030706.508	224.628
224	737309.612	1030705.404	224.412
223	737308.993	1030704.387	224.537
222	737308.419	1030703.384	224.520
221	737307.768	1030702.152	224.433
100001	737306.918	1030701.731	224.259
100002	737307.872	1030701.267	224.276
100003	737319.975	1030722.338	224.228
218	737305.287	1030728.233	225.293
216	737314.007	1030723.326	225.255
211	737310.688	1030717.492	225.261
206	737307.427	1030711.808	225.251
205	737286.745	1030715.936	225.237
202	737299.786	1030708.544	225.237
201	737304.225	1030705.987	225.253
133	737280.733	1030742.154	225.237
138	737273.233	1030746.331	225.240
124	737277.551	1030729.718	225.250
